Title,Type,Num Bids,Current Bid,Buy Price,End Date,Link
EVGA GeForce GTX 960 SSC (4GB),direct,,,80.0,2020-11-19 20:09:00,https://www.ricardo.ch/de/a/evga-geforce-gtx-960-ssc-(4gb)-1144595190/
Zotac GTX 980 4GB DDR5 256bit,auction,79,63.0,,2020-11-20 19:17:00,https://www.ricardo.ch/de/a/zotac-gtx-980-4gb-ddr5-256bit-1144833196/
Nvidia MSI GTX 1050 Ti OC,auction,9,51.0,,2020-11-22 20:46:00,https://www.ricardo.ch/de/a/nvidia-msi-gtx-1050-ti-oc-1145211826/
Nvidia GTX 1060 3GB OC Small,auction,2,55.0,,2020-11-25 23:11:00,https://www.ricardo.ch/de/a/nvidia-gtx-1060-3gb-oc-small-1145224982/
carte graphique asus A9250 agpx8 128m,auction,0,3.0,,2020-11-23 19:29:00,https://www.ricardo.ch/de/a/carte-graphique-asus-a9250-agpx8-128m-1145342894/
Sapphire AMD Radeon RX 570 Nitro+ 4GB,direct,,,70.0,2020-11-23 17:21:00,https://www.ricardo.ch/de/a/sapphire-amd-radeon-rx-570-nitro-4gb-1145271510/
NVIDIA Quadro P2200 BRAND NEW,hybrid,0,300.0,350.0,2020-11-24 20:49:00,https://www.ricardo.ch/de/a/nvidia-quadro-p2200-brand-new-1145461544/
Asus Geforce Gtx 1080 a8 Gaming,auction,191,181.0,,2020-11-19 11:49:00,https://www.ricardo.ch/de/a/asus-geforce-gtx-1080-a8-gaming-1144607090/
RTX 3070 Asus Dual OC 8GB Overclocked,hybrid,0,589.0,640.0,2020-11-22 18:04:00,https://www.ricardo.ch/de/a/rtx-3070-asus-dual-oc-8gb-overclocked-1144966118/
GIGABYTE GeForce GTX 750 Ti 2Gb,auction,0,30.0,,2020-11-22 20:00:00,https://www.ricardo.ch/de/a/gigabyte-geforce-gtx-750-ti-2gb-1143653966/
ASUS ENGTX285/2DI/1GD3,direct,,,100.0,2020-11-28 10:52:00,https://www.ricardo.ch/de/a/asus-engtx285-2di-1gd3-1144397648/
Grafikkart Asus Strix GTX 980Ti (6 GB),hybrid,0,135.0,160.0,2020-11-26 19:59:00,https://www.ricardo.ch/de/a/grafikkart-asus-strix-gtx-980ti-(6-gb)-1145485984/
Grafikkarte NVIDIA GeForce 9600GT,direct,,,80.0,2020-11-19 18:25:00,https://www.ricardo.ch/de/a/grafikkarte-nvidia-geforce-9600gt-1144662944/
